City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,sitka,57.0531,-135.33,1.94,93,75,2.06,US,1737489202
123,saipan,15.1355,145.701,26.39,78,20,3.09,MP,1737489301
124,whitehorse,60.7161,-135.0538,-12.57,92,20,0.0,CA,1737489112
125,argo,37.6333,22.7333,10.19,82,88,2.16,GR,1737489303
126,ta`u,-14.2336,-169.5144,28.33,73,96,8.27,AS,1737489304
127,khorixas,-20.3667,14.9667,19.96,54,82,5.41,NA,1737489306
128,east london,-33.0153,27.9116,21.42,87,100,8.15,ZA,1737489307
129,nizhniy ingash,56.2,96.53,-4.52,86,93,2.27,RU,1737489308
130,shagonar,51.5333,92.8,-20.93,99,100,1.6,RU,1737489309
131,hermanus,-34.4187,19.2345,21.56,79,81,9.72,ZA,1737489310
132,touros,-5.1989,-35.4608,28.05,71,73,5.31,BR,1737489311
133,nova vicosa,-17.8919,-39.3719,28.94,71,95,6.17,BR,1737489313
134,ribeira grande,38.5167,-28.7,14.32,58,40,4.63,PT,1737489314
135,menongue,-14.6585,17.691,17.3,83,100,1.83,AO,1737489315
136,hawaiian paradise park,19.5933,-154.9731,24.94,73,0,0.45,US,1737489316
137,mossel bay,-34.1831,22.146,20.96,85,60,11.72,ZA,1737489318
138,san ignacio,17.1561,-89.0714,26.08,83,40,3.09,BZ,1737489320
139,colares,38.7992,-9.4469,17.41,83,75,7.2,PT,1737489321
140,estevan,49.1334,-102.9842,-2.1,80,100,11.32,CA,1737489322
141,taulaga,-11.0553,-171.0883,28.18,80,22,8.05,AS,1737489323
142,huai khot,15.2909,99.6166,19.76,47,100,1.74,TH,1737489324
143,albany,42.6001,-73.9662,-8.64,46,99,1.79,US,1737489326
144,st. john's,47.5649,-52.7093,-4.46,71,75,12.35,CA,1737489327
145,hithadhoo,-0.6,73.0833,27.07,78,100,3.51,MV,1737489328
146,tatsinskiy,48.1968,41.2756,-0.95,67,21,2.98,RU,1737489329
147,mangrol,21.1167,70.1167,21.07,48,0,4.09,IN,1737489330
148,konotop,51.2403,33.2026,-0.58,87,100,3.37,UA,1737489331
149,alem paraiba,-21.8878,-42.7044,32.83,67,0,1.12,BR,1737489333
